symbol,strategy,side,qty,entry,exit,entry_px,exit_px,pnl,ccy,hold
KAIAUSDT-PERP,EMACrossStop&Reverse-001,LONG,2756.0,2026-06-26 19:56:13,2026-06-26 20:03:17,0.03468,0.03449,-0.61895626,USDT,7m 4s
NIGHTUSDT-PERP,EMACrossStop&Reverse-001,LONG,10289.0,2026-06-26 19:55:19,2026-06-26 20:03:17,0.03034,0.03029,-0.82636103,USDT,7m 58s
ATOMUSDT-PERP,EMACrossStop&Reverse-001,LONG,677.79,2026-06-26 19:52:07,2026-06-26 20:03:08,1.613,1.606,-5.835433,USDT,11m 0s
BCHUSDT-PERP,EMACrossStop&Reverse-001,LONG,0.318,2026-06-26 19:52:07,2026-06-26 20:03:08,196.24,195.62,-0.25946574,USDT,11m 0s
VELVETUSDT-PERP,EMACrossStop&Reverse-001,LONG,9.0,2026-06-26 19:54:09,2026-06-26 20:03:08,0.6128,0.5977,-0.14134725,USDT,8m 59s
BEATUSDT-PERP,EMACrossStop&Reverse-001,LONG,50.0,2026-06-26 19:53:06,2026-06-26 20:02:05,2.394,2.379,-0.869325,USDT,8m 59s
TRUMPUSDT-PERP,EMACrossStop&Reverse-001,LONG,1136.45,2026-06-26 19:55:19,2026-06-26 20:01:15,1.682,1.679,-5.31915423,USDT,5m 56s
