symbol,strategy,side,qty,entry,exit,entry_px,exit_px,pnl,ccy,hold
1000LUNCUSDT-PERP,EMACrossStop&Reverse-001,SHORT,13895.0,2026-06-27 11:00:05,2026-06-27 11:04:05,0.06314,0.06323820223101835,-2.24253257,USDT,3m 59s
GWEIUSDT-PERP,EMACrossStop&Reverse-001,SHORT,3872.0,2026-06-27 11:02:07,2026-06-27 11:04:03,0.1272,0.12778713842975206,-2.7670551,USDT,1m 55s
TIAUSDT-PERP,EMACrossStop&Reverse-001,SHORT,2881.0,2026-06-27 11:00:08,2026-06-27 11:04:03,0.3714,0.3715,-1.35824745,USDT,3m 55s
EIGENUSDT-PERP,EMACrossStop&Reverse-001,SHORT,4542.1,2026-06-27 11:00:05,2026-06-27 11:04:02,0.2256,0.22485755047224848,2.34926838,USDT,3m 56s
HYPEUSDT-PERP,EMACrossStop&Reverse-001,SHORT,31.34,2026-06-27 11:00:05,2026-06-27 11:04:01,63.803,63.82000000000001,-2.53263241,USDT,3m 55s
IOTAUSDT-PERP,EMACrossStop&Reverse-001,SHORT,3631.5,2026-06-27 11:03:08,2026-06-27 11:04:01,0.03855,0.03862,-0.39432643,USDT,53s
SEIUSDT-PERP,EMACrossStop&Reverse-001,SHORT,26103.0,2026-06-27 11:00:05,2026-06-27 11:04:01,0.05218,0.052249134582231925,-3.16757686,USDT,3m 55s
SKYUSDT-PERP,EMACrossStop&Reverse-001,SHORT,15579.0,2026-06-27 11:01:08,2026-06-27 11:04:01,0.04871,0.04876,-1.53819257,USDT,2m 53s
AKTUSDT-PERP,EMACrossStop&Reverse-001,LONG,8.0,2026-06-27 11:00:08,2026-06-27 11:04:00,0.664,0.6636,-0.0085104,USDT,3m 52s
BUSDT-PERP,EMACrossStop&Reverse-001,SHORT,57.0,2026-06-27 11:00:08,2026-06-27 11:04:00,0.2371,0.2374,-0.03062325,USDT,3m 52s
ENAUSDT-PERP,EMACrossStop&Reverse-001,SHORT,1885.0,2026-06-27 11:00:05,2026-06-27 11:04:00,0.07897,0.07896,-0.12999903,USDT,3m 54s
FILUSDT-PERP,EMACrossStop&Reverse-001,SHORT,2695.4,2026-06-27 11:02:06,2026-06-27 11:04:00,0.742,0.743,-4.6967345,USDT,1m 54s
JASMYUSDT-PERP,EMACrossStop&Reverse-001,LONG,131275.0,2026-06-27 11:01:08,2026-06-27 11:04:00,0.004541,0.004537,-1.12095722,USDT,2m 52s
KAIAUSDT-PERP,EMACrossStop&Reverse-001,SHORT,2143.0,2026-06-27 11:00:07,2026-06-27 11:04:00,0.03516,0.0352,-0.16111074,USDT,3m 53s
OPUSDT-PERP,EMACrossStop&Reverse-001,SHORT,19120.5,2026-06-27 11:00:05,2026-06-27 11:04:00,0.1046,0.1046,-2.0000043,USDT,3m 54s
SUNUSDT-PERP,EMACrossStop&Reverse-001,SHORT,10073.0,2026-06-27 11:03:08,2026-06-27 11:04:00,0.016678,0.016679,-0.17807553,USDT,52s
WLFIUSDT-PERP,EMACrossStop&Reverse-001,SHORT,1410.0,2026-06-27 11:02:06,2026-06-27 11:04:00,0.05802,0.05802,-0.0818082,USDT,1m 54s
XPLUSDT-PERP,EMACrossStop&Reverse-001,LONG,6329.0,2026-06-27 11:01:06,2026-06-27 11:04:00,0.10988,0.10974,-1.58104749,USDT,2m 54s
