symbol,strategy,side,qty,entry,exit,entry_px,exit_px,pnl,ccy,hold
CAKEUSDT-PERP,EMACrossStop&Reverse-001,SHORT,159.0,2026-06-27 12:06:08,2026-06-27 12:12:04,1.3192,1.3240201257861637,-0.976536,USDT,5m 56s
DEXEUSDT-PERP,EMACrossStop&Reverse-001,SHORT,96.43,2026-06-27 12:02:13,2026-06-27 12:11:55,20.73,20.74341802343669,-3.29354085,USDT,9m 42s
LABUSDT-PERP,EMACrossStop&Reverse-001,SHORT,104.0,2026-06-27 11:31:04,2026-06-27 12:11:52,19.15,19.424894230769226,-30.5948945,USDT,40m 48s
PENGUUSDT-PERP,EMACrossStop&Reverse-001,LONG,320256.0,2026-06-27 12:01:05,2026-06-27 12:11:52,0.006244,0.006262,3.76204723,USDT,10m 46s
VELVETUSDT-PERP,EMACrossStop&Reverse-001,LONG,510.0,2026-06-27 11:30:11,2026-06-27 12:11:51,0.9221,0.9448007843137254,11.1013403,USDT,41m 40s
BEATUSDT-PERP,EMACrossStop&Reverse-001,SHORT,386.0,2026-06-27 11:25:13,2026-06-27 12:11:48,2.487,2.2465595854922276,91.896423,USDT,46m 35s
MORPHOUSDT-PERP,EMACrossStop&Reverse-001,LONG,351.4,2026-06-27 12:04:07,2026-06-27 12:11:48,1.7758,1.7785067444507687,0.3266583,USDT,7m 41s
SKYUSDT-PERP,EMACrossStop&Reverse-001,LONG,40825.0,2026-06-27 11:34:09,2026-06-27 12:11:48,0.04901,0.0488936671157379,-6.74774863,USDT,37m 39s
AKTUSDT-PERP,EMACrossStop&Reverse-001,SHORT,572.4,2026-06-27 12:02:13,2026-06-27 12:11:47,0.6627,0.6640345562543677,-1.14361144,USDT,9m 34s
HYPEUSDT-PERP,EMACrossStop&Reverse-001,LONG,31.28,2026-06-27 11:16:04,2026-06-27 12:11:47,63.933,63.6920664961637,-9.53245605,USDT,55m 43s
ZECUSDT-PERP,EMACrossStop&Reverse-001,SHORT,3.713,2026-06-27 11:28:14,2026-06-27 12:11:47,413.82,409.4956315647724,14.52789453,USDT,43m 33s
JTOUSDT-PERP,EMACrossStop&Reverse-001,SHORT,1572.0,2026-06-27 11:53:08,2026-06-27 12:11:46,0.8106,0.8185983460559796,-13.8539499,USDT,18m 38s
BCHUSDT-PERP,EMACrossStop&Reverse-001,LONG,2.622,2026-06-27 12:09:06,2026-06-27 12:11:46,197.01,197.56999999999996,0.95102561,USDT,2m 40s
AEROUSDT-PERP,EMACrossStop&Reverse-001,SHORT,1719.9,2026-06-27 11:26:07,2026-06-27 12:11:46,0.4744,0.4721948136519564,2.97867579,USDT,45m 38s
APTUSDT-PERP,EMACrossStop&Reverse-001,LONG,1548.7,2026-06-27 11:53:12,2026-06-27 12:11:46,0.601,0.6034,2.78425286,USDT,18m 34s
MUSDT-PERP,EMACrossStop&Reverse-001,SHORT,51.0,2026-06-27 12:07:04,2026-06-27 12:11:46,0.7002,0.6885274509803923,0.55988745,USDT,4m 42s
ONDOUSDT-PERP,EMACrossStop&Reverse-001,LONG,6281.4,2026-06-27 11:53:08,2026-06-27 12:11:46,0.3184,0.3203,9.9286949,USDT,18m 38s
SUIUSDT-PERP,EMACrossStop&Reverse-001,LONG,2809.8,2026-06-27 11:59:03,2026-06-27 12:11:46,0.7116,0.7158,9.79580574,USDT,12m 42s
XTZUSDT-PERP,EMACrossStop&Reverse-001,SHORT,1294.4,2026-06-27 11:52:06,2026-06-27 12:11:46,0.2203,0.22057385661310258,-0.63981356,USDT,19m 40s
UNIUSDT-PERP,EMACrossStop&Reverse-001,LONG,681.0,2026-06-27 11:48:03,2026-06-27 12:11:45,2.937,2.948,5.4871575,USDT,23m 42s
UBUSDT-PERP,EMACrossStop&Reverse-001,SHORT,64.0,2026-06-27 11:49:06,2026-06-27 12:11:45,0.07959,0.07822,0.08263008,USDT,22m 39s
SOLUSDT-PERP,EMACrossStop&Reverse-001,LONG,27.87,2026-06-27 11:50:06,2026-06-27 12:11:45,71.77,72.19,9.6993174,USDT,21m 38s
JASMYUSDT-PERP,EMACrossStop&Reverse-001,LONG,1126.0,2026-06-27 12:02:23,2026-06-27 12:11:45,0.004529,0.004542,0.00953102,USDT,9m 22s
SKYAIUSDT-PERP,EMACrossStop&Reverse-001,LONG,391.0,2026-06-27 11:51:06,2026-06-27 12:11:45,0.3575,0.3522458567774936,-2.19312532,USDT,20m 39s
TRUMPUSDT-PERP,EMACrossStop&Reverse-001,LONG,1166.86,2026-06-27 12:00:06,2026-06-27 12:11:45,1.714,1.714,-1.99999804,USDT,11m 38s
BUSDT-PERP,EMACrossStop&Reverse-001,SHORT,791.0,2026-06-27 12:09:06,2026-06-27 12:11:45,0.2353,0.2355,-0.3444014,USDT,2m 39s
CRVUSDT-PERP,EMACrossStop&Reverse-001,LONG,10352.0,2026-06-27 12:11:08,2026-06-27 12:11:45,0.1932,0.1931,-3.0346888,USDT,37s
1000FLOKIUSDT-PERP,EMACrossStop&Reverse-001,LONG,90539.0,2026-06-27 12:00:10,2026-06-27 12:11:45,0.0221,0.02208884370271375,-3.01048686,USDT,11m 35s
1000SHIBUSDT-PERP,EMACrossStop&Reverse-001,LONG,131036.0,2026-06-27 11:51:09,2026-06-27 12:11:45,0.004261,0.004276,1.40621283,USDT,20m 35s
ASTERUSDT-PERP,EMACrossStop&Reverse-001,SHORT,3177.0,2026-06-27 11:34:12,2026-06-27 12:11:45,0.6296,0.631347403210576,-7.55451495,USDT,37m 33s
BNBUSDT-PERP,EMACrossStop&Reverse-001,LONG,3.54,2026-06-27 11:50:07,2026-06-27 12:11:45,565.41,565.1786440677967,-2.8201419,USDT,21m 38s
BTCUSDT-PERP,EMACrossStop&Reverse-001,LONG,0.033,2026-06-27 11:50:06,2026-06-27 12:11:45,60159.2,60384.8,5.455824,USDT,21m 38s
