symbol,strategy,side,qty,entry,exit,entry_px,exit_px,pnl,ccy,hold
CCUSDT-PERP,EMACrossStop&Reverse-001,SHORT,1288.0,2026-06-27 12:05:06,2026-06-27 12:11:45,0.15132,0.15127,-0.13046796,USDT,6m 39s
GWEIUSDT-PERP,EMACrossStop&Reverse-001,LONG,7420.0,2026-06-27 11:22:36,2026-06-27 12:11:45,0.1287,0.12826048517520217,-4.2145234,USDT,49m 9s
HBARUSDT-PERP,EMACrossStop&Reverse-001,SHORT,22222.0,2026-06-27 12:07:08,2026-06-27 12:11:45,0.07231,0.07243473134731347,-4.38003871,USDT,4m 37s
INJUSDT-PERP,EMACrossStop&Reverse-001,LONG,28.9,2026-06-27 11:54:04,2026-06-27 12:11:45,4.91,4.965,1.44680625,USDT,17m 41s
JUPUSDT-PERP,EMACrossStop&Reverse-001,LONG,4332.0,2026-06-27 11:21:19,2026-06-27 12:11:45,0.2245,0.2240451061865189,-2.9421487,USDT,50m 26s
KASUSDT-PERP,EMACrossStop&Reverse-001,LONG,13085.0,2026-06-27 11:22:17,2026-06-27 12:11:45,0.02786,0.02787444936950707,-0.17557264,USDT,49m 27s
LTCUSDT-PERP,EMACrossStop&Reverse-001,LONG,47.371,2026-06-27 12:08:10,2026-06-27 12:11:45,42.23,42.26,-0.58005789,USDT,3m 35s
MONUSDT-PERP,EMACrossStop&Reverse-001,LONG,18782.0,2026-06-27 11:17:18,2026-06-27 12:11:45,0.01931,0.01933757214354169,0.15492065,USDT,54m 27s
NEARUSDT-PERP,EMACrossStop&Reverse-001,LONG,1112.0,2026-06-27 11:57:07,2026-06-27 12:11:45,1.8,1.808,6.889952,USDT,14m 38s
PYTHUSDT-PERP,EMACrossStop&Reverse-001,LONG,4940.0,2026-06-27 11:56:07,2026-06-27 12:11:45,0.03412,0.03419,0.1770743,USDT,15m 37s
QNTUSDT-PERP,EMACrossStop&Reverse-001,LONG,3.4,2026-06-27 11:22:36,2026-06-27 12:11:45,66.33,66.1320588235294,-0.8981855,USDT,49m 9s
SPXUSDT-PERP,EMACrossStop&Reverse-001,SHORT,328.0,2026-06-27 11:56:07,2026-06-27 12:11:45,0.3318,0.3325432926829268,-0.3527523,USDT,15m 37s
SUNUSDT-PERP,EMACrossStop&Reverse-001,SHORT,29013.0,2026-06-27 11:24:15,2026-06-27 12:11:45,0.016676,0.016683409850756555,-0.69891027,USDT,47m 30s
TAOUSDT-PERP,EMACrossStop&Reverse-001,SHORT,2.2,2026-06-27 11:32:04,2026-06-27 12:11:45,213.29,213.90152727272724,-1.81527068,USDT,39m 40s
VVVUSDT-PERP,EMACrossStop&Reverse-001,LONG,5.64,2026-06-27 11:59:05,2026-06-27 12:11:45,13.401,13.460468085106381,0.25965066,USDT,12m 40s
XLMUSDT-PERP,EMACrossStop&Reverse-001,SHORT,5072.0,2026-06-27 11:55:04,2026-06-27 12:11:45,0.17407,0.1746120386435331,-3.63347766,USDT,16m 41s
XPLUSDT-PERP,EMACrossStop&Reverse-001,SHORT,636.0,2026-06-27 11:52:06,2026-06-27 12:11:45,0.10916,0.1075,0.98686212,USDT,19m 39s
WLFIUSDT-PERP,EMACrossStop&Reverse-001,SHORT,8833.0,2026-06-27 12:05:07,2026-06-27 12:10:06,0.05803,0.05811,-1.21957231,USDT,4m 59s
1000PEPEUSDT-PERP,EMACrossStop&Reverse-001,SHORT,651520.0,2026-06-27 12:07:06,2026-06-27 12:10:06,0.0024201,0.0024256,-5.16189524,USDT,3m 0s
DOTUSDT-PERP,EMACrossStop&Reverse-001,LONG,2364.1,2026-06-27 12:07:05,2026-06-27 12:08:18,0.846,0.845,-4.36294655,USDT,1m 12s
1000BONKUSDT-PERP,EMACrossStop&Reverse-001,LONG,16428.0,2026-06-27 12:01:08,2026-06-27 12:07:12,0.004229,0.004227,-0.10231359,USDT,6m 3s
AXSUSDT-PERP,EMACrossStop&Reverse-001,LONG,2016.0,2026-06-27 12:00:10,2026-06-27 12:06:13,0.992,0.99,-6.029856,USDT,6m 2s
JSTUSDT-PERP,EMACrossStop&Reverse-001,SHORT,3880.0,2026-06-27 11:42:07,2026-06-27 12:06:08,0.08369,0.08376883505154639,-0.63075015,USDT,24m 0s
AVAXUSDT-PERP,EMACrossStop&Reverse-001,SHORT,305.0,2026-06-27 11:40:21,2026-06-27 12:01:15,6.554,6.5580131147540985,-3.223582,USDT,20m 53s
FILUSDT-PERP,EMACrossStop&Reverse-001,SHORT,2695.4,2026-06-27 12:00:06,2026-06-27 12:01:12,0.742,0.744,-7.3934822,USDT,1m 5s
ADAUSDT-PERP,EMACrossStop&Reverse-001,SHORT,13578.0,2026-06-27 12:00:10,2026-06-27 12:01:12,0.1473,0.1476,-6.0754761,USDT,1m 2s
STRKUSDT-PERP,EMACrossStop&Reverse-001,SHORT,14544.7,2026-06-27 11:24:15,2026-06-27 12:00:10,0.0291,0.029102502561070352,-0.45966798,USDT,35m 55s
BSVUSDT-PERP,EMACrossStop&Reverse-001,SHORT,107.6,2026-06-27 11:34:14,2026-06-27 11:59:11,11.81,11.789814126394052,0.90233,USDT,24m 57s
ETCUSDT-PERP,EMACrossStop&Reverse-001,SHORT,59.85,2026-06-27 11:16:07,2026-06-27 11:59:11,7.282,7.275157226399331,-0.02608293,USDT,43m 4s
GRTUSDT-PERP,EMACrossStop&Reverse-001,SHORT,105479.0,2026-06-27 11:35:18,2026-06-27 11:59:11,0.0179,0.01788308781842831,-0.10330216,USDT,23m 53s
PAXGUSDT-PERP,EMACrossStop&Reverse-001,LONG,0.18,2026-06-27 11:19:12,2026-06-27 11:59:05,4076.86,4077.43,-0.6312861,USDT,39m 53s
STXUSDT-PERP,EMACrossStop&Reverse-001,LONG,2835.0,2026-06-27 11:16:11,2026-06-27 11:56:10,0.1694,0.16969999999999996,0.36982575,USDT,39m 58s
FETUSDT-PERP,EMACrossStop&Reverse-001,SHORT,11217.0,2026-06-27 11:34:09,2026-06-27 11:55:06,0.1783,0.1785,-4.2445128,USDT,20m 56s
ENAUSDT-PERP,EMACrossStop&Reverse-001,SHORT,11209.0,2026-06-27 11:25:17,2026-06-27 11:54:06,0.07916,0.07911962886965831,-0.43455819,USDT,28m 48s
IOTAUSDT-PERP,EMACrossStop&Reverse-001,SHORT,5362.1,2026-06-27 11:35:18,2026-06-27 11:52:11,0.03883,0.0388,-0.04726691,USDT,16m 52s
OPUSDT-PERP,EMACrossStop&Reverse-001,SHORT,19102.2,2026-06-27 11:27:12,2026-06-27 11:51:09,0.1047,0.1045,1.82234988,USDT,23m 57s
KAIAUSDT-PERP,EMACrossStop&Reverse-001,LONG,1746.0,2026-06-27 11:44:09,2026-06-27 11:51:07,0.03527,0.03524,-0.11393523,USDT,6m 58s
DOGEUSDT-PERP,EMACrossStop&Reverse-001,SHORT,26469.0,2026-06-27 11:33:06,2026-06-27 11:50:12,0.07555,0.07557,-2.52937765,USDT,17m 5s
AAVEUSDT-PERP,EMACrossStop&Reverse-001,SHORT,2.1,2026-06-27 11:30:15,2026-06-27 11:50:09,94.7,93.72,1.860159,USDT,19m 54s
GRASSUSDT-PERP,EMACrossStop&Reverse-001,SHORT,247.0,2026-06-27 11:21:07,2026-06-27 11:49:10,0.4844,0.4830570850202429,0.21221905,USDT,28m 3s
ETHUSDT-PERP,EMACrossStop&Reverse-001,SHORT,1.267,2026-06-27 11:24:05,2026-06-27 11:49:07,1578.26,1576.45,0.29476121,USDT,25m 2s
ATOMUSDT-PERP,EMACrossStop&Reverse-001,SHORT,1255.49,2026-06-27 11:23:12,2026-06-27 11:48:09,1.593,1.592,-0.74387783,USDT,24m 57s
RENDERUSDT-PERP,EMACrossStop&Reverse-001,SHORT,154.9,2026-06-27 11:34:04,2026-06-27 11:48:09,1.608,1.609,-0.40405665,USDT,14m 4s
XMRUSDT-PERP,EMACrossStop&Reverse-001,LONG,1.225,2026-06-27 11:43:07,2026-06-27 11:46:15,317.75,317.55,-0.63412126,USDT,3m 8s
COMPUSDT-PERP,EMACrossStop&Reverse-001,LONG,124.146,2026-06-27 11:34:14,2026-06-27 11:40:24,16.11,16.084926940859958,-5.1111557,USDT,6m 10s
ALGOUSDT-PERP,EMACrossStop&Reverse-001,LONG,23446.7,2026-06-27 11:18:11,2026-06-27 11:39:13,0.0854,0.0854,-2.00234818,USDT,21m 2s
POLUSDT-PERP,EMACrossStop&Reverse-001,LONG,7391.0,2026-06-27 11:16:11,2026-06-27 11:38:13,0.07149,0.07184,2.05717398,USDT,22m 2s
SEIUSDT-PERP,EMACrossStop&Reverse-001,LONG,5409.0,2026-06-27 11:23:06,2026-06-27 11:33:17,0.05229,0.05218,-0.87752912,USDT,10m 10s
DASHUSDT-PERP,EMACrossStop&Reverse-001,LONG,11.54,2026-06-27 11:16:11,2026-06-27 11:33:16,33.75,33.73,-0.6201596,USDT,17m 4s
TRXUSDT-PERP,EMACrossStop&Reverse-001,LONG,6236.0,2026-06-27 11:21:15,2026-06-27 11:33:12,0.3207,0.32066,-2.24920048,USDT,11m 57s
WLDUSDT-PERP,EMACrossStop&Reverse-001,LONG,4276.0,2026-06-27 11:27:07,2026-06-27 11:33:10,0.4677,0.4653,-12.257154,USDT,6m 2s
EIGENUSDT-PERP,EMACrossStop&Reverse-001,LONG,1335.5,2026-06-27 11:27:05,2026-06-27 11:31:18,0.2252,0.2237,-2.30300298,USDT,4m 13s
NIGHTUSDT-PERP,EMACrossStop&Reverse-001,LONG,3931.0,2026-06-27 11:25:17,2026-06-27 11:30:22,0.03038,0.03027,-0.55161758,USDT,5m 5s
