symbol,strategy,side,qty,entry,exit,entry_px,exit_px,pnl,ccy,hold
BTCUSDT-PERP,EMACrossStop&Reverse-001,SHORT,0.031,2026-06-26 18:08:00,2026-06-26 18:32:00,59539.7,59216.94193548387,8.16477205,USDT,24m 0s
ETHUSDT-PERP,EMACrossStop&Reverse-001,SHORT,1.293,2026-06-26 18:08:03,2026-06-26 18:32:00,1546.97,1536.9597834493427,10.94944939,USDT,23m 56s
BNBUSDT-PERP,EMACrossStop&Reverse-001,SHORT,3.59,2026-06-26 18:26:01,2026-06-26 18:31:59,557.13,556.96,-1.38949155,USDT,5m 58s
ATOMUSDT-PERP,EMACrossStop&Reverse-001,LONG,1250.78,2026-06-26 17:54:04,2026-06-26 18:09:06,1.599,1.596,-5.75046105,USDT,15m 2s
ENAUSDT-PERP,EMACrossStop&Reverse-001,SHORT,25549.0,2026-06-26 16:27:04,2026-06-26 17:30:14,0.07826,0.07801968844181768,4.1433251,USDT,63m 10s
ETHFIUSDT-PERP,EMACrossStop&Reverse-001,SHORT,698.5,2026-06-26 17:08:05,2026-06-26 17:30:03,0.3603,0.35908485325697925,0.5975348,USDT,21m 58s
GRASSUSDT-PERP,EMACrossStop&Reverse-001,SHORT,310.9,2026-06-26 16:29:04,2026-06-26 17:30:03,0.4443,0.4442295593438405,-0.11622193,USDT,60m 59s
VIRTUALUSDT-PERP,EMACrossStop&Reverse-001,SHORT,742.3,2026-06-26 16:29:04,2026-06-26 17:30:03,0.5187,0.5178317930755759,0.2597612,USDT,60m 59s
SPXUSDT-PERP,EMACrossStop&Reverse-001,SHORT,361.0,2026-06-26 17:11:04,2026-06-26 17:30:02,0.3181,0.317278947368421,0.1817141,USDT,18m 57s
HYPEUSDT-PERP,EMACrossStop&Reverse-001,LONG,20.23,2026-06-26 16:53:04,2026-06-26 17:30:01,62.102,61.9886070192783,-3.54911649,USDT,36m 57s
WLFIUSDT-PERP,EMACrossStop&Reverse-001,SHORT,24155.0,2026-06-26 16:29:04,2026-06-26 17:30:00,0.05714,0.05715482094804388,-1.7383957,USDT,60m 56s
DOGEUSDT-PERP,EMACrossStop&Reverse-001,LONG,462.0,2026-06-26 17:07:05,2026-06-26 17:29:59,0.07373,0.07346233766233766,-0.15766143,USDT,22m 54s
NIGHTUSDT-PERP,EMACrossStop&Reverse-001,LONG,9008.0,2026-06-26 16:44:04,2026-06-26 17:29:59,0.0303,0.030144651420959144,-1.67162272,USDT,45m 55s
VVVUSDT-PERP,EMACrossStop&Reverse-001,SHORT,1.21,2026-06-26 16:48:01,2026-06-26 17:29:59,13.529,13.226685950413223,0.3496128,USDT,41m 58s
BUSDT-PERP,EMACrossStop&Reverse-001,LONG,147.0,2026-06-26 17:26:04,2026-06-26 17:29:58,0.2363,0.23844761904761905,0.28080605,USDT,3m 53s
KAIAUSDT-PERP,EMACrossStop&Reverse-001,SHORT,208.0,2026-06-26 17:22:05,2026-06-26 17:29:58,0.03399,0.033969903846153844,-0.00288784,USDT,7m 53s
LABUSDT-PERP,EMACrossStop&Reverse-001,LONG,19.0,2026-06-26 16:28:04,2026-06-26 17:29:58,18.518,18.563,0.5027305,USDT,61m 53s
TIAUSDT-PERP,EMACrossStop&Reverse-001,SHORT,193.0,2026-06-26 16:47:04,2026-06-26 17:29:58,0.3559,0.3543274611398964,0.23496305,USDT,42m 53s
FILUSDT-PERP,EMACrossStop&Reverse-001,SHORT,39.8,2026-06-26 17:15:01,2026-06-26 17:29:57,0.72,0.7170000000000001,0.0908037,USDT,14m 56s
